temperature,rainfall,soil_type,crop
28,83,3,Cotton
34,210,3,Wheat
27,77,1,Cotton
35,83,3,Cotton
28,122,3,Maize
32,176,2,Rice
24,217,2,Wheat
36,98,2,Cotton
31,130,2,Maize
28,170,3,Rice
29,210,3,Wheat
31,161,2,Rice
25,233,1,Wheat
19,205,1,Wheat
36,234,3,Wheat
34,126,3,Maize
27,197,3,Wheat
22,73,1,Cotton
23,107,1,Maize
19,140,3,Rice
35,163,3,Rice
29,186,3,Wheat
19,193,1,Wheat
33,153,3,Rice
32,98,2,Cotton
27,217,2,Wheat
21,138,3,Rice
18,152,3,Rice
36,102,2,Maize
34,155,2,Rice
34,200,1,Wheat
36,125,3,Maize
27,234,2,Wheat
31,205,3,Wheat
34,116,1,Maize
18,149,3,Rice
19,196,2,Wheat
36,125,2,Maize
27,186,1,Wheat
32,77,3,Cotton
18,104,2,Maize
26,242,1,Wheat
33,149,1,Rice
22,88,3,Cotton
29,202,1,Wheat
33,240,2,Wheat
24,214,3,Wheat
28,227,3,Wheat
30,221,1,Wheat
29,130,3,Maize
28,136,2,Rice
24,224,3,Wheat
26,144,3,Rice
21,239,2,Wheat
28,147,1,Rice
24,135,2,Rice
29,241,3,Wheat
32,158,1,Rice
20,218,1,Wheat
23,77,2,Cotton
22,98,3,Cotton
26,114,1,Maize
21,214,3,Wheat
31,88,1,Cotton
29,215,1,Wheat
21,120,1,Maize
22,157,1,Rice
18,182,2,Wheat
19,127,3,Maize
18,241,3,Wheat
36,219,1,Wheat
26,81,1,Cotton
29,210,2,Wheat
25,138,2,Rice
24,199,3,Wheat
22,196,2,Wheat
27,99,1,Cotton
19,161,3,Rice
22,141,3,Rice
18,180,1,Rice
30,80,3,Cotton
32,191,1,Wheat
36,153,1,Rice
18,70,3,Cotton
36,237,1,Wheat
25,228,2,Wheat
33,89,2,Cotton
35,171,3,Rice
28,130,3,Maize
23,218,2,Wheat
30,180,1,Rice
35,89,2,Cotton
30,205,1,Wheat
33,245,3,Wheat
35,236,3,Wheat
21,167,2,Rice
30,203,1,Wheat
22,206,1,Wheat
18,207,2,Wheat
27,249,1,Wheat
33,245,2,Wheat
26,111,2,Maize
23,204,1,Wheat
19,123,1,Maize
32,160,3,Rice
35,241,1,Wheat
32,243,1,Wheat
20,238,1,Wheat
28,205,2,Wheat
31,126,2,Maize
22,154,2,Rice
36,178,1,Rice
27,94,3,Cotton
18,148,2,Rice
32,110,1,Maize
34,199,1,Wheat
25,239,1,Wheat
29,250,3,Wheat
21,97,3,Cotton
23,194,3,Wheat
31,123,2,Maize
19,226,3,Wheat
27,179,1,Rice
33,82,2,Cotton
26,155,1,Rice
31,110,3,Maize
33,191,1,Wheat
30,250,1,Wheat
25,179,2,Rice
28,75,1,Cotton
25,156,1,Rice
34,187,3,Wheat
23,249,2,Wheat
28,147,2,Rice
32,235,2,Wheat
30,208,2,Wheat
31,132,3,Rice
19,169,1,Rice
29,163,3,Rice
24,197,1,Wheat
34,159,1,Rice
29,106,1,Maize
21,89,1,Cotton
25,240,2,Wheat
30,170,3,Rice
30,134,2,Rice
31,131,3,Rice
24,218,2,Wheat
29,71,1,Cotton
24,229,2,Wheat
26,98,1,Cotton
28,123,1,Maize
25,100,1,Cotton
28,80,1,Cotton
36,222,3,Wheat
27,216,3,Wheat
21,125,1,Maize
27,83,3,Cotton
34,213,1,Wheat
24,178,3,Rice
18,207,3,Wheat
27,236,1,Wheat
36,234,1,Wheat
28,214,2,Wheat
18,171,2,Rice
32,123,2,Maize
21,228,3,Wheat
30,84,2,Cotton
27,157,1,Rice
32,214,2,Wheat
26,151,2,Rice
27,83,1,Cotton
33,247,2,Wheat
33,247,1,Wheat
28,196,2,Wheat
20,137,2,Rice
20,189,3,Wheat
36,178,3,Rice
34,221,1,Wheat
27,200,1,Wheat
33,155,2,Rice
19,135,1,Rice
34,158,3,Rice
24,114,3,Maize
20,191,3,Wheat
33,203,2,Wheat
31,175,1,Rice
21,190,1,Wheat
30,210,3,Wheat
36,175,3,Rice
27,84,2,Cotton
30,74,1,Cotton
36,83,1,Cotton
27,70,1,Cotton
21,114,1,Maize
33,182,1,Wheat
32,89,3,Cotton
28,105,2,Maize
18,172,2,Rice
31,186,1,Wheat
28,146,1,Rice
31,218,3,Wheat
26,81,3,Cotton
34,135,3,Rice
29,196,3,Wheat
28,238,1,Wheat
36,161,1,Rice
26,245,2,Wheat
35,165,3,Rice
22,208,3,Wheat
29,102,1,Maize
36,134,2,Rice
35,248,3,Wheat
33,152,2,Rice
22,214,3,Wheat
23,149,3,Rice
27,98,1,Cotton
18,97,1,Cotton
29,165,3,Rice
23,245,3,Wheat
26,226,3,Wheat
23,90,3,Cotton
26,216,1,Wheat
32,194,1,Wheat
19,192,3,Wheat
34,127,2,Maize
22,167,2,Rice
18,135,1,Rice
20,242,2,Wheat
18,83,1,Cotton
22,81,2,Cotton
32,129,1,Maize
34,180,2,Rice
22,152,1,Rice
32,101,3,Maize
35,104,2,Maize
34,201,1,Wheat
26,114,3,Maize
29,149,2,Rice
34,125,2,Maize
18,144,1,Rice
29,135,2,Rice
23,133,3,Rice
20,225,3,Wheat
32,130,1,Maize
27,192,1,Wheat
36,184,3,Wheat
32,162,3,Rice
34,142,2,Rice
35,108,1,Maize
31,228,3,Wheat
35,195,3,Wheat
24,225,3,Wheat
23,85,1,Cotton
25,170,2,Rice
27,88,1,Cotton
18,77,3,Cotton
24,240,2,Wheat
26,142,3,Rice
30,163,3,Rice
23,150,2,Rice
28,113,3,Maize
31,230,2,Wheat
28,160,1,Rice
22,244,2,Wheat
32,159,1,Rice
20,171,1,Rice
18,108,3,Maize
27,169,2,Rice
32,154,2,Rice
18,139,1,Rice
18,70,1,Cotton
27,111,3,Maize
32,149,3,Rice
23,146,2,Rice
28,90,2,Cotton
34,199,3,Wheat
28,110,3,Maize
23,113,1,Maize
19,158,3,Rice
23,174,3,Rice
29,72,3,Cotton
20,247,2,Wheat
29,72,3,Cotton
22,158,2,Rice
19,189,3,Wheat
30,241,2,Wheat
23,79,2,Cotton
21,92,3,Cotton
31,91,3,Cotton
27,104,3,Maize
27,214,3,Wheat
34,220,2,Wheat
35,178,3,Rice
35,118,3,Maize
31,142,2,Rice
22,190,2,Wheat
29,148,3,Rice
27,192,1,Wheat
25,180,1,Rice
28,77,3,Cotton
30,220,3,Wheat
22,222,3,Wheat
27,188,1,Wheat
18,80,3,Cotton
34,174,2,Rice
22,93,2,Cotton
21,215,1,Wheat
24,192,2,Wheat
36,126,1,Maize
20,160,3,Rice
35,72,2,Cotton
23,180,3,Rice
24,221,1,Wheat
18,107,1,Maize
26,185,3,Wheat
34,196,1,Wheat
24,213,1,Wheat
20,164,3,Rice
20,100,1,Cotton
27,158,3,Rice
27,240,1,Wheat
33,196,1,Wheat
32,157,2,Rice
31,98,1,Cotton
24,156,1,Rice
33,156,3,Rice
23,102,3,Maize
25,196,3,Wheat
30,100,2,Cotton
36,90,2,Cotton
36,208,1,Wheat
27,100,3,Cotton
23,129,3,Maize
27,229,2,Wheat
26,111,3,Maize
21,194,1,Wheat
34,143,1,Rice
21,128,2,Maize
29,104,2,Maize
22,239,2,Wheat
24,131,2,Rice
33,237,1,Wheat
25,161,2,Rice
23,129,2,Maize
28,186,2,Wheat
27,72,3,Cotton
33,216,2,Wheat
24,229,1,Wheat
25,80,1,Cotton
34,94,1,Cotton
30,105,3,Maize
32,129,2,Maize
35,146,1,Rice
34,129,3,Maize
26,92,3,Cotton
19,194,3,Wheat
36,237,2,Wheat
31,90,2,Cotton
26,250,2,Wheat
28,84,2,Cotton
36,89,2,Cotton
20,98,2,Cotton
30,215,1,Wheat
33,92,1,Cotton
32,80,2,Cotton
20,183,2,Wheat
25,208,2,Wheat
18,237,1,Wheat
35,237,1,Wheat
18,200,3,Wheat
31,161,2,Rice
28,161,3,Rice
26,142,2,Rice
33,74,2,Cotton
36,76,2,Cotton
26,91,2,Cotton
35,125,1,Maize
22,129,1,Maize
31,121,1,Maize
35,140,1,Rice
22,112,2,Maize
19,138,2,Rice
28,86,3,Cotton
20,244,1,Wheat
36,166,3,Rice
24,172,2,Rice
34,192,1,Wheat
22,109,3,Maize
36,217,3,Wheat
19,149,2,Rice
33,169,3,Rice
30,175,2,Rice
28,210,3,Wheat
21,94,3,Cotton
35,104,1,Maize
18,236,3,Wheat
33,164,3,Rice
33,216,1,Wheat
31,233,2,Wheat
32,177,1,Rice
18,240,1,Wheat
32,113,1,Maize
31,215,3,Wheat
25,168,3,Rice
23,225,3,Wheat
21,82,3,Cotton
26,220,2,Wheat
26,135,3,Rice
36,106,3,Maize
22,137,2,Rice
32,193,3,Wheat
24,181,2,Wheat
27,90,3,Cotton
26,140,2,Rice
22,164,2,Rice
20,143,1,Rice
29,106,2,Maize
20,95,1,Cotton
33,182,2,Wheat
20,231,3,Wheat
22,134,1,Rice
30,139,2,Rice
19,142,2,Rice
29,163,1,Rice
29,203,1,Wheat
27,71,3,Cotton
18,180,2,Rice
24,138,1,Rice
21,177,3,Rice
20,104,3,Maize
31,141,1,Rice
30,179,2,Rice
21,159,1,Rice
22,104,2,Maize
30,236,2,Wheat
29,89,2,Cotton
28,170,3,Rice
31,77,2,Cotton
27,221,1,Wheat
32,97,3,Cotton
32,168,3,Rice
35,160,2,Rice
35,135,2,Rice
33,196,1,Wheat
34,96,2,Cotton
31,112,1,Maize
21,197,1,Wheat
32,93,2,Cotton
22,96,1,Cotton
25,238,3,Wheat
25,221,3,Wheat
20,130,2,Maize
25,176,3,Rice
35,137,1,Rice
22,164,2,Rice
33,90,1,Cotton
27,103,2,Maize
33,174,1,Rice
35,74,3,Cotton
32,90,2,Cotton
20,76,3,Cotton
30,204,1,Wheat
29,151,1,Rice
23,155,1,Rice
31,94,1,Cotton
24,191,3,Wheat
23,221,1,Wheat
36,185,1,Wheat
21,151,3,Rice
29,126,3,Maize
34,204,3,Wheat
34,92,2,Cotton
30,79,1,Cotton
27,116,3,Maize
32,130,3,Maize
30,79,2,Cotton
18,206,3,Wheat
36,185,1,Wheat
20,146,3,Rice
20,243,2,Wheat
23,115,3,Maize
32,148,3,Rice
25,136,2,Rice
27,250,2,Wheat
24,172,3,Rice
28,70,1,Cotton
26,249,1,Wheat
32,144,2,Rice
18,201,2,Wheat
22,120,2,Maize
20,131,3,Rice
23,140,2,Rice
24,139,1,Rice
28,168,1,Rice
20,225,1,Wheat
32,71,2,Cotton
28,220,2,Wheat
28,233,1,Wheat
26,144,2,Rice
18,156,1,Rice
20,72,3,Cotton
23,93,3,Cotton
34,214,2,Wheat
20,166,1,Rice
24,114,1,Maize
25,87,2,Cotton
28,170,2,Rice
30,134,2,Rice
30,206,1,Wheat
32,133,1,Rice
34,117,2,Maize
26,137,3,Rice
35,212,3,Wheat
25,142,1,Rice
21,187,2,Wheat
34,249,3,Wheat
23,236,3,Wheat
29,184,2,Wheat
20,189,1,Wheat
32,219,3,Wheat
18,234,1,Wheat
31,240,1,Wheat
24,77,1,Cotton
21,233,1,Wheat
21,147,1,Rice
25,215,3,Wheat
21,73,3,Cotton
34,160,2,Rice
20,206,3,Wheat
24,231,3,Wheat
22,228,3,Wheat
18,129,3,Maize
23,117,2,Maize
20,185,1,Wheat
27,79,1,Cotton
36,188,2,Wheat
22,128,3,Maize
24,70,1,Cotton
34,113,3,Maize
34,201,2,Wheat
24,162,2,Rice
31,248,3,Wheat
36,84,2,Cotton
31,97,2,Cotton
26,242,3,Wheat
32,130,3,Maize
28,157,2,Rice
29,119,1,Maize
29,180,3,Rice
34,225,1,Wheat
32,81,1,Cotton
28,132,2,Rice
27,186,2,Wheat
30,170,1,Rice
20,127,2,Maize
22,72,1,Cotton
23,228,1,Wheat
26,248,2,Wheat
20,118,3,Maize
22,155,1,Rice
22,160,2,Rice
22,70,1,Cotton
34,112,2,Maize
18,202,1,Wheat
35,201,3,Wheat
21,100,1,Cotton
19,139,1,Rice
19,187,2,Wheat
32,250,3,Wheat
21,98,1,Cotton
33,154,2,Rice
24,77,3,Cotton
21,137,2,Rice
36,101,2,Maize
35,95,3,Cotton
28,162,1,Rice
35,82,2,Cotton
18,147,3,Rice
34,103,2,Maize
27,113,1,Maize
31,143,1,Rice
29,98,3,Cotton
33,90,1,Cotton
24,107,3,Maize
20,134,2,Rice
30,170,1,Rice
18,100,1,Cotton
29,89,3,Cotton
31,108,1,Maize
31,231,3,Wheat
21,114,3,Maize
27,112,2,Maize
21,98,2,Cotton
35,225,3,Wheat
35,212,2,Wheat
35,84,3,Cotton
18,239,3,Wheat
36,135,3,Rice
24,103,2,Maize
28,199,3,Wheat
27,170,1,Rice
21,153,3,Rice
31,147,3,Rice
35,180,1,Rice
